name,price,change,change_percent
AAPL,174.61,-2.96,(-1.67%)
FTNT,47.01,-10.58,(-18.36%)
SQ,50.45,+6.47,(+14.71%)
DKNG,31.02,+2.05,(+7.06%)
NIO,7.88,+0.09,(+1.16%)
FUBO,2.7300,-0.0100,(-0.36%)
BILL,60.21,-29.26,(-32.70%)
ENB,34.02,+0.51,(+1.52%)
PANW,243.19,-7.17,(-2.86%)
CVNA,31.52,+1.60,(+5.36%)
0700.HK,302.600,+14.000,(+4.85%)
QSR,66.88,-2.21,(-3.21%)
PSTV,1.5100,+0.1400,(+10.22%)
EXPE,108.52,+13.68,(+14.42%)
MAERSK-B.CO,"10,300.00","-1,895.00",(-15.54%)
TEAM,166.89,-14.51,(-8.00%)
NET,60.86,+4.28,(+7.56%)
DOCN,26.07,+4.84,(+22.80%)
COIN,84.33,-0.27,(-0.32%)
PARA,13.12,+1.20,(+10.11%)
NVOS,0.3001,+0.0416,(+16.09%)
IFRX,1.5700,+0.1700,(+12.14%)
BKNG,"2,800.37",-38.25,(-1.35%)
CYTO,0.1991,+0.0356,(+21.77%)
STEM,3.6598,+0.1398,(+3.97%)
CRWD,182.44,-0.36,(-0.20%)
ENB.TO,46.54,+0.48,(+1.04%)
MGA,54.65,+5.61,(+11.43%)
HOWL,2.6300,+0.4800,(+22.33%)
FND,79.00,-5.92,(-6.97%)
