name,Company_name,price,previous_close,open,change,change_percent,date
LIFW,"MSP Recovery, Inc. (LIFW)",10.93,2.74,3.20,+8.19,(+298.91%),2023-11-06_21-24
DISH,DISH Network Corporation (DISH),4.0300,5.4900,4.7000,-1.4600,(-26.59%),2023-11-06_21-24
LI,Li Auto Inc. (LI),39.38,36.36,39.28,+3.02,(+8.31%),2023-11-06_21-24
BRK-B,Berkshire Hathaway Inc. (BRK-B),345.77,351.81,354.03,-6.04,(-1.72%),2023-11-06_21-25
XRP-USD,XRP USD (XRP-USD),0.709045,0.661127,0.661127,+0.059772,(+9.21%),2023-11-06_21-25
WE,WeWork Inc. (WE),0.8355,0.8355,1.1500,0.0000,(0.00%),2023-11-06_21-25
COST,Costco Wholesale Corporation (COST),571.26,560.90,560.49,+10.36,(+1.85%),2023-11-06_21-25
OGI,Organigram Holdings Inc. (OGI),1.4100,1.1600,1.5200,+0.2500,(+21.55%),2023-11-06_21-26
BKNG,Booking Holdings Inc. (BKNG),"2,984.09","2,858.75","2,888.56",+125.34,(+4.38%),2023-11-06_21-26
CREV,Carbon Revolution Public Limited Ordinary Shares (CREV),109.03,29.32,197.99,+79.71,(+271.86%),2023-11-06_21-26
KNGS,Upholdings Compound Kings ETF (KNGS),25.73,25.89,25.98,-0.17,(-0.65%),2023-11-06_21-26
CANO,"Cano Health, Inc. (CANO)",13.39,10.21,10.18,+3.18,(+31.15%),2023-11-06_21-26
CDIO,"Cardio Diagnostics Holdings, Inc. (CDIO)",0.7067,0.3744,0.4431,+0.3323,(+88.76%),2023-11-06_21-26
BMBL,Bumble Inc. (BMBL),12.99,13.67,12.62,-0.68,(-4.94%),2023-11-06_21-27
FRPT,"Freshpet, Inc. (FRPT)",69.28,58.25,71.07,+11.03,(+18.93%),2023-11-06_21-27
MLTX,MoonLake Immunotherapeutics (MLTX),38.00,51.28,36.55,-13.28,(-25.90%),2023-11-06_21-27
LLY,Eli Lilly and Company (LLY),593.00,567.81,571.10,+25.19,(+4.44%),2023-11-06_21-27
BVH,Bluegreen Vacations Holding Corporation (BVH),72.99,35.52,72.98,+37.47,(+105.49%),2023-11-06_21-28
SDOG,ALPS Sector Dividend Dogs ETF (SDOG),46.46,46.89,46.81,-0.43,(-0.91%),2023-11-06_21-28
VCSA,"Vacasa, Inc. (VCSA)",9.71,8.70,9.00,+1.01,(+11.61%),2023-11-06_21-28
XRP-CAD,XRP CAD (XRP-CAD),0.972403,0.903175,0.903175,+0.085321,(+9.62%),2023-11-06_21-28
NRG,"NRG Energy, Inc. (NRG)",46.01,45.00,45.64,+1.01,(+2.23%),2023-11-06_21-29
DOGE-USD,Dogecoin USD (DOGE-USD),0.075363,0.071224,0.071224,+0.004533,(+6.40%),2023-11-06_21-29
OGI.TO,Organigram Holdings Inc. (OGI.TO),1.9000,1.5900,2.0900,+0.3100,(+19.50%),2023-11-06_21-29
SEDG,"SolarEdge Technologies, Inc. (SEDG)",68.99,75.60,75.60,-6.61,(-8.74%),2023-11-06_21-29
CEG,Constellation Energy Corporation (CEG),125.34,117.07,118.99,+8.27,(+7.06%),2023-11-06_21-30
BBAI,"BigBear.ai Holdings, Inc. (BBAI)",1.5413,1.4400,1.5100,+0.1013,(+7.03%),2023-11-06_21-30
VERB,"Verb Technology Company, Inc. (VERB)",0.2957,0.2562,0.3070,+0.0395,(+15.42%),2023-11-06_21-30
SHIB-USD,Shiba Inu USD (SHIB-USD),0.00000839,0.00000814,0.00000814,+0.00000024,(+2.99%),2023-11-06_21-31
PKX,POSCO Holdings Inc. (PKX),95.38,83.44,96.73,+11.94,(+14.31%),2023-11-06_21-31
